app_id,metascore,user_score
2060130,87.0,76
841190,72.0,60
1239520,63.0,3
698670,70.0,65
1179210,68.0,68
811320,78.0,77
2134770,74.0,70
1685750,79.0,70
1282410,77.0,73
2076140,80.0,79
2739830,72.0,0
1158370,64.0,60
1155970,83.0,83
871980,70.0,81
1073910,72.0,73
1138850,75.0,70
628670,64.0,65
1229380,81.0,76
1731070,71.0,71
2233120,67.0,69
1425350,82.0,74
1058450,68.0,54
1357860,84.0,75
1622350,66.0,63
1749750,68.0,48
757310,76.0,61
1885110,77.0,82
2420660,87.0,83
1306630,59.0,74
1621310,82.0,79
1402120,74.0,76
1153640,73.0,68
1213700,59.0,64
1472660,63.0,49
473950,85.0,77
1931010,76.0,72
1859470,71.0,76
1406850,81.0,74
2292260,78.0,67
1844380,67.0,68
2014550,76.0,68
2461850,81.0,74
1195290,70.0,72
1663220,79.0,70
1649010,69.0,72
1367590,72.0,80
957960,78.0,67
1416050,81.0,68
1249040,77.0,85
1347780,81.0,78
1154810,78.0,73
1118240,70.0,60
1087760,70.0,68
1046400,82.0,67
1832040,70.0,48
566440,59.0,28
978520,76.0,68
746850,73.0,76
1777620,74.0,69
1840800,78.0,72
1119980,75.0,81
787810,78.0,76
1608640,81.0,77
1013140,69.0,73
1328840,84.0,82
1730590,80.0,73
1497440,88.0,80
1337010,79.0,79
1286990,80.0,80
1388870,73.0,66
999220,80.0,64
1449280,66.0,71
1849900,82.0,67
2051120,77.0,67
1089830,70.0,59
1295270,77.0,65
2731870,80.0,81
1324340,64.0,75
1979440,71.0,75
785790,84.0,82
1062830,72.0,66
1456760,83.0,76
1641700,80.0,68
1599020,78.0,81
1893810,85.0,76
1341820,77.0,77
1101190,74.0,74
1209490,68.0,64
1201270,85.0,77
996770,74.0,72
1000010,83.0,68
1009290,58.0,59
1155330,75.0,79
1493750,72.0,70
1134100,67.0,65
2803280,74.0,0
2717880,80.0,74
2379910,79.0,57
1013220,66.0,0
2254740,74.0,71
1294810,56.0,36
1574260,82.0,76
1112890,57.0,59
760650,64.0,40
1602080,68.0,62
1898500,85.0,74
1286320,67.0,54
1191630,79.0,77
1812370,84.0,80
1669420,82.0,80
2394650,82.0,80
1931730,60.0,64
1069690,72.0,46
1647550,80.0,79
1627570,83.0,73
2081080,72.0,30
2217580,81.0,78
1182620,80.0,79
1680880,64.0,43
2017080,77.0,67
1532690,80.0,71
1654660,76.0,66
1413870,67.0,82
1904790,64.0,81
1051690,82.0,73
515960,73.0,71
1420290,83.0,84
226620,82.0,78
2694420,88.0,75
1414850,65.0,55
1437400,72.0,47
1996430,79.0,73
1116580,78.0,75
1670870,75.0,80
1410640,81.0,84
1402110,68.0,77
2287330,77.0,84
1272840,76.0,70
1345890,69.0,62
2106840,85.0,89
1040420,82.0,67
1341200,61.0,56
